"","GOterm","ParentTerm","Factor","term","bh_adjust_Up","bh_adjust_Down","bh_adjust_Biomin"
"1424","GO:0055088","intracellular calcium ion homeostasis","Down, Up","lipid homeostasis",1.08735150675059e-13,2.08972190154225e-08,NA
"1425","GO:0055092","intracellular calcium ion homeostasis","Up","sterol homeostasis",1.30623395126783e-06,NA,NA
"1426","GO:0055123","nervous system development","Down, Up, Biomin","digestive system development",1.96118501475623e-23,4.91126735567269e-17,3.64518741758092e-06
"1427","GO:0060070","chemical synaptic transmission","Up","canonical Wnt signaling pathway",1.02176000663043e-07,NA,NA
"1428","GO:0060249","intracellular calcium ion homeostasis","Down, Up","anatomical structure homeostasis",1.12708991574392e-28,2.7494929271987e-31,NA
"1429","GO:0060255","regulation of DNA-templated transcription","Down, Up, Biomin","regulation of macromolecule metabolic process",0,3.60039552563265e-295,7.78142108137066e-08
"1430","GO:0060271","cilium assembly","Down, Up","cilium assembly",3.93549472691211e-32,1.75930373774342e-25,NA
"1431","GO:0060284","regulation of neuron differentiation","Down, Up","regulation of cell development",3.37485041548567e-79,6.13116119435519e-65,NA
"1432","GO:0060322","brain development","Down, Up, Biomin","head development",1.43874538372347e-58,3.22378521301297e-55,1.49673270200764e-07
"1433","GO:0060341","regulation of protein localization","Down, Up","regulation of cellular localization",9.818321226573e-65,1.51232627951148e-58,NA
"1434","GO:0060429","morphogenesis of an epithelium","Down, Up, Biomin","epithelium development",6.32623620495755e-117,5.39171827947304e-108,1.04554009451368e-09
"1435","GO:0060485","morphogenesis of an epithelium","Down, Up","mesenchyme development",1.64336980367303e-14,5.05371012303212e-10,NA
"1436","GO:0060491","positive regulation of axon extension","Down, Up","regulation of cell projection assembly",3.59373101648802e-16,1.2135037507715e-09,NA
"1437","GO:0060537","morphogenesis of an epithelium","Down, Up","muscle tissue development",1.8257599914761e-22,5.6705344047762e-19,NA
"1438","GO:0060538","muscle organ development","Down, Up","skeletal muscle organ development",1.98040580679782e-13,8.59369171910587e-14,NA
"1439","GO:0060548","apoptotic process","Down, Up","negative regulation of cell death",2.4773127218799e-65,7.43741830970302e-61,NA
"1440","GO:0060560","positive regulation of multicellular organism growth","Down, Up","developmental growth involved in morphogenesis",6.73588769072123e-18,4.57146851295137e-17,NA
"1441","GO:0060562","epithelial tube morphogenesis","Down, Up","epithelial tube morphogenesis",2.14391677572298e-61,2.65652660293198e-45,NA
"1442","GO:0060627","regulation of protein localization","Down, Up","regulation of vesicle-mediated transport",2.61042416252174e-43,5.10573627114429e-35,NA
"1443","GO:0060795","embryo development ending in birth or egg hatching","Up","cell fate commitment involved in formation of primary germ layer",4.97686967147377e-06,NA,NA
"1444","GO:0060828","chemical synaptic transmission","Down, Up","regulation of canonical Wnt signaling pathway",5.46823617586909e-23,4.3334688676271e-16,NA
"1445","GO:0060998","cilium assembly","Up","regulation of dendritic spine development",1.2631683210973e-06,NA,NA
"1446","GO:0061013","mRNA processing","Down, Up","regulation of mRNA catabolic process",1.29494488552298e-09,6.84775610619506e-09,NA
"1447","GO:0061024","Golgi organization","Down, Up","membrane organization",1.2684547568903e-49,4.82627723263017e-48,NA
"1448","GO:0061025","Golgi organization","Down, Up","membrane fusion",3.60290684046984e-10,5.04319428337805e-13,NA
"1449","GO:0061041","defense response","Up","regulation of wound healing",5.8299737388289e-10,NA,NA
"1450","GO:0061061","muscle organ development","Down, Up","muscle structure development",7.2387030048115e-41,1.19870066371173e-42,NA
"1451","GO:0061062","regulation of multicellular organismal process","Down, Up","regulation of nematode larval development",3.72714887096768e-10,4.21647319441312e-11,NA
"1452","GO:0061077","protein folding","Down, Up","chaperone-mediated protein folding",1.42035521084343e-10,3.45964272616866e-07,NA
"1453","GO:0061097","peptidyl-serine phosphorylation","Up","regulation of protein tyrosine kinase activity",6.11574729473862e-06,NA,NA
"1454","GO:0061136","regulation of DNA-templated transcription","Down, Up","regulation of proteasomal protein catabolic process",5.62046992348826e-16,1.80598507625213e-16,NA
"1455","GO:0061138","anatomical structure morphogenesis","Down, Up","morphogenesis of a branching epithelium",1.66145691373574e-18,8.87649722340612e-09,NA
"1456","GO:0061245","establishment or maintenance of cell polarity","Down, Up","establishment or maintenance of bipolar cell polarity",1.02665503800847e-06,5.27269214901384e-06,NA
"1457","GO:0061351","positive regulation of cell population proliferation","Down, Up","neural precursor cell proliferation",1.57532337638206e-14,4.05372851376404e-08,NA
"1458","GO:0061387","positive regulation of multicellular organism growth","Down, Up","regulation of extent of cell growth",4.13387602987242e-12,2.13269643154925e-07,NA
"1459","GO:0061458","nervous system development","Down, Up","reproductive system development",1.87131826924055e-40,7.5454076246053e-37,NA
"1460","GO:0061525","nervous system development","Down","hindgut development",NA,7.74244630729932e-06,NA
"1461","GO:0061564","nervous system development","Down, Up","axon development",9.56068948584695e-42,5.15122466622552e-37,NA
"1462","GO:0061640","cell division","Down, Up","cytoskeleton-dependent cytokinesis",2.53513651713286e-17,9.8427548099272e-16,NA
"1463","GO:0061919","autophagy","Down, Up","process utilizing autophagic mechanism",6.59447547869074e-16,5.02305796845322e-15,NA
"1464","GO:0061982","cell cycle","Down, Up","meiosis I cell cycle process",2.18967019303208e-12,1.67496222611494e-08,NA
"1465","GO:0062012","fatty acid metabolic process","Down, Up","regulation of small molecule metabolic process",1.35048317233976e-23,8.74988790978578e-19,NA
"1466","GO:0062013","fatty acid metabolic process","Down, Up","positive regulation of small molecule metabolic process",1.1124218992908e-07,3.61614262477999e-09,NA
"1467","GO:0062014","fatty acid metabolic process","Up","negative regulation of small molecule metabolic process",9.32643866835332e-06,NA,NA
"1468","GO:0065003","protein homooligomerization","Down, Up","protein-containing complex assembly",6.93390187833151e-105,2.43911300492989e-106,NA
"1469","GO:0065004","protein homooligomerization","Down, Up","protein-DNA complex assembly",4.347609510692e-13,1.98709300460023e-07,NA
"1470","GO:0065007","regulation of cellular process","Down, Up, Biomin","biological regulation",0,0,0
"1471","GO:0065008","regulation of membrane potential","Down, Up, Biomin","regulation of biological quality",6.22471393342895e-245,4.95400874265903e-221,0
"1472","GO:0065009","regulation of catalytic activity","Down, Up","regulation of molecular function",1.10222012928749e-176,4.37026836600696e-140,NA
"1473","GO:0070085","protein glycosylation","Down, Up","glycosylation",1.00875015367354e-11,3.13127426317185e-14,NA
"1474","GO:0070125","translation","Down, Up","mitochondrial translational elongation",2.79246670156952e-06,9.06272901137123e-07,NA
"1475","GO:0070126","translational termination","Down, Up","mitochondrial translational termination",2.78751451584916e-06,2.34043340705587e-06,NA
"1476","GO:0070192","mitochondrion organization","Down","chromosome organization involved in meiotic cell cycle",NA,4.31588787970648e-06,NA
"1477","GO:0070201","regulation of protein localization","Down, Up","regulation of establishment of protein localization",4.46914860195862e-48,1.44328582036363e-41,NA
"1478","GO:0070252","actin cytoskeleton organization","Up","actin-mediated cell contraction",3.26063732948843e-06,NA,NA
"1479","GO:0070302","intracellular signal transduction","Down, Up","regulation of stress-activated protein kinase signaling cascade",4.30377302348533e-18,8.36405017383681e-12,NA
"1480","GO:0070303","intracellular signal transduction","Down","negative regulation of stress-activated protein kinase signaling cascade",NA,4.77852629199429e-06,NA
"1481","GO:0070304","intracellular signal transduction","Down, Up","positive regulation of stress-activated protein kinase signaling cascade",7.54744611811015e-12,5.27269214901384e-06,NA
"1482","GO:0070372","intracellular signal transduction","Down, Up","regulation of ERK1 and ERK2 cascade",7.6883254760917e-12,1.38913931787334e-06,NA
"1483","GO:0070374","intracellular signal transduction","Up","positive regulation of ERK1 and ERK2 cascade",3.38961056795837e-09,NA,NA
"1484","GO:0070482","response to heat","Down, Up","response to oxygen levels",7.39850702510034e-26,2.08571589330997e-24,NA
"1485","GO:0070507","microtubule cytoskeleton organization","Down, Up","regulation of microtubule cytoskeleton organization",8.70667246343822e-18,6.44149798317298e-10,NA
"1486","GO:0070570","cell differentiation","Up","regulation of neuron projection regeneration",6.61869461052909e-07,NA,NA
"1487","GO:0070585","protein transport","Down, Up","protein localization to mitochondrion",2.38525729569955e-06,4.10253801383309e-06,NA
"1488","GO:0070588","monoatomic ion transport","Down, Up","calcium ion transmembrane transport",4.34192048231685e-10,8.49161728934658e-07,NA
"1489","GO:0070646","protein ubiquitination","Down, Up","protein modification by small protein removal",8.29218970816427e-19,7.48926924813414e-25,NA
"1490","GO:0070647","protein ubiquitination","Down, Up","protein modification by small protein conjugation or removal",4.22156264363516e-48,2.18729863713209e-61,NA
"1491","GO:0070727","protein transport","Down, Up","cellular macromolecule localization",1.30894891172779e-116,2.54683696449237e-104,NA
"1492","GO:0070848","fibroblast growth factor receptor signaling pathway","Down, Up","response to growth factor",8.16582272059226e-36,1.58747640425181e-25,NA
"1493","GO:0070887","cellular oxidant detoxification","Down, Up, Biomin","cellular response to chemical stimulus",2.01213959406345e-151,3.79993848070077e-136,1.70393028794538e-09
"1494","GO:0070925","ribosome biogenesis","Down, Up","organelle assembly",2.70902467446291e-69,4.47885515113148e-65,NA
"1495","GO:0070972","protein transport","Down, Up","protein localization to endoplasmic reticulum",8.93770061133627e-07,2.0126299438481e-24,NA
"1496","GO:0071103","mitochondrion organization","Down, Up","DNA conformation change",1.35630119376109e-16,1.67709617422854e-16,NA
"1497","GO:0071214","cellular response to light stimulus","Down, Up","cellular response to abiotic stimulus",1.20035356056838e-24,3.89489425489592e-18,NA
"1498","GO:0071229","cellular oxidant detoxification","Down, Up","cellular response to acid chemical",1.35553820171459e-13,3.62147669057384e-08,NA
"1499","GO:0071241","cellular oxidant detoxification","Down, Up","cellular response to inorganic substance",1.44908760403248e-12,2.24940870066189e-13,NA
"1500","GO:0071248","cellular oxidant detoxification","Down, Up","cellular response to metal ion",3.04391954119873e-11,1.10925236370598e-10,NA
"1501","GO:0071310","IRE1-mediated unfolded protein response","Down, Up, Biomin","cellular response to organic substance",3.36398096005591e-125,5.79755935861172e-111,1.04968009688225e-07
"1502","GO:0071322","IRE1-mediated unfolded protein response","Down","cellular response to carbohydrate stimulus",NA,6.31186202883788e-07,NA
"1503","GO:0071345","IRE1-mediated unfolded protein response","Down, Up","cellular response to cytokine stimulus",3.42134292639204e-43,4.05828319698682e-34,NA
"1504","GO:0071356","IRE1-mediated unfolded protein response","Down","cellular response to tumor necrosis factor",NA,8.96690412051492e-07,NA
"1505","GO:0071363","fibroblast growth factor receptor signaling pathway","Down, Up","cellular response to growth factor stimulus",3.77040306053904e-35,5.71563066044512e-25,NA
"1506","GO:0071375","IRE1-mediated unfolded protein response","Down, Up","cellular response to peptide hormone stimulus",3.71733041397415e-19,5.25098821800555e-16,NA
"1507","GO:0071383","IRE1-mediated unfolded protein response","Down, Up","cellular response to steroid hormone stimulus",2.52029112771698e-11,6.98630161478138e-11,NA
"1508","GO:0071396","IRE1-mediated unfolded protein response","Down, Up","cellular response to lipid",5.89956020544971e-29,4.05645897944125e-25,NA
"1509","GO:0071407","IRE1-mediated unfolded protein response","Down, Up","cellular response to organic cyclic compound",9.9008885841782e-33,8.93864882312029e-34,NA
"1510","GO:0071417","IRE1-mediated unfolded protein response","Down, Up","cellular response to organonitrogen compound",5.52822760818001e-37,2.76850543033944e-29,NA
"1511","GO:0071453","response to heat","Down, Up","cellular response to oxygen levels",5.47901151119964e-10,7.49567793902209e-13,NA
"1512","GO:0071456","response to heat","Down, Up","cellular response to hypoxia",2.66056245453209e-07,2.48174112541067e-12,NA
"1513","GO:0071466","xenobiotic metabolic process","Down, Up","cellular response to xenobiotic stimulus",6.184672399713e-08,1.09045388133848e-08,NA
"1514","GO:0071478","cellular response to light stimulus","Down, Up","cellular response to radiation",4.68256156367912e-18,1.32794520228339e-12,NA
"1515","GO:0071479","cellular response to light stimulus","Up","cellular response to ionizing radiation",6.01119453117175e-07,NA,NA
"1516","GO:0071482","cellular response to light stimulus","Down, Up","cellular response to light stimulus",8.34184334757009e-12,7.0395017772825e-10,NA
"1517","GO:0071495","fibroblast growth factor receptor signaling pathway","Down, Up","cellular response to endogenous stimulus",2.97883536301384e-74,2.10252421383517e-61,NA
"1518","GO:0071496","response to starvation","Down, Up","cellular response to external stimulus",1.22408493778336e-23,7.81531288846061e-23,NA
"1519","GO:0071559","fibroblast growth factor receptor signaling pathway","Down, Up","response to transforming growth factor beta",3.07379208069439e-10,2.35905004552252e-09,NA
"1520","GO:0071560","fibroblast growth factor receptor signaling pathway","Down, Up","cellular response to transforming growth factor beta stimulus",1.36275918251451e-09,2.35905004552252e-09,NA
"1521","GO:0071695","neuron remodeling","Down, Up","anatomical structure maturation",1.64322532138465e-14,1.14842614496129e-10,NA
"1522","GO:0071702","bicarbonate transport","Down, Up, Biomin","organic substance transport",3.62981709885046e-103,1.13278278683816e-107,8.85082230812163e-10
"1523","GO:0071704","metabolic process","Down, Up, Biomin","organic substance metabolic process",0,0,0
"1524","GO:0071705","mRNA transport","Down, Up","nitrogen compound transport",2.3610272353776e-92,4.72047306477518e-99,NA
"1525","GO:0071774","fibroblast growth factor receptor signaling pathway","Down, Up","response to fibroblast growth factor",3.50200870616376e-09,6.94411349254526e-06,NA
"1526","GO:0071824","protein homooligomerization","Down, Up","protein-DNA complex subunit organization",8.9792822098002e-17,4.26195856389544e-14,NA
"1527","GO:0071826","protein homooligomerization","Down, Up","ribonucleoprotein complex subunit organization",2.05020281038175e-22,9.78573990878014e-32,NA
"1528","GO:0071840","mitochondrion organization","Down, Up, Biomin","cellular component organization or biogenesis",0,0,0
"1529","GO:0071897","DNA replication","Down, Up","DNA biosynthetic process",3.24709930547811e-09,3.32643854493922e-07,NA
"1530","GO:0071900","regulation of catalytic activity","Down, Up","regulation of protein serine/threonine kinase activity",1.42520842836707e-34,6.77763166088218e-24,NA
"1531","GO:0071901","regulation of catalytic activity","Down, Up","negative regulation of protein serine/threonine kinase activity",2.82060827151918e-10,3.36338206330491e-07,NA
"1532","GO:0071902","regulation of catalytic activity","Down, Up","positive regulation of protein serine/threonine kinase activity",3.6385186733738e-24,1.15707527689221e-15,NA
"1533","GO:0072089","positive regulation of cell population proliferation","Down, Up","stem cell proliferation",1.5207002296233e-12,4.05647629413446e-08,NA
"1534","GO:0072091","positive regulation of cell population proliferation","Down, Up","regulation of stem cell proliferation",1.62712517693307e-09,4.70618772200326e-08,NA
"1535","GO:0072175","epithelial tube morphogenesis","Down, Up","epithelial tube formation",1.77092505590617e-14,3.32253425433983e-14,NA
"1536","GO:0072329","ubiquitin-dependent protein catabolic process","Down, Up","monocarboxylic acid catabolic process",2.94641528216006e-08,3.53213403660867e-07,NA
"1537","GO:0072330","fatty acid metabolic process","Down, Up","monocarboxylic acid biosynthetic process",3.74406538213616e-12,6.84849950785548e-13,NA
"1538","GO:0072331","intracellular signal transduction","Up","signal transduction by p53 class mediator",2.41285226952526e-07,NA,NA
"1539","GO:0072347","cellular oxidant detoxification","Up","response to anesthetic",2.95199884323411e-06,NA,NA
"1540","GO:0072350","fatty acid metabolic process","Down","tricarboxylic acid metabolic process",NA,7.92593791087772e-07,NA
"1541","GO:0072359","nervous system development","Down, Up, Biomin","circulatory system development",6.28025312077389e-54,1.33770055233509e-47,0
"1542","GO:0072384","organelle transport along microtubule","Up","organelle transport along microtubule",1.44692237552212e-07,NA,NA
"1543","GO:0072521","purine nucleotide biosynthetic process","Down, Up","purine-containing compound metabolic process",3.25080226453667e-27,9.37206921341695e-42,NA
"1544","GO:0072522","purine nucleotide biosynthetic process","Down, Up","purine-containing compound biosynthetic process",1.82367664164236e-10,1.02772351262069e-15,NA
"1545","GO:0072524","NAD metabolic process","Down, Up","pyridine-containing compound metabolic process",6.48408450817242e-07,1.0187010248924e-09,NA
"1546","GO:0072593","regulation of reactive oxygen species metabolic process","Up","reactive oxygen species metabolic process",2.80930891952262e-06,NA,NA
"1547","GO:0072594","protein transport","Down, Up","establishment of protein localization to organelle",1.2415574562182e-29,8.67075496573285e-46,NA
"1548","GO:0072599","protein transport","Down","establishment of protein localization to endoplasmic reticulum",NA,1.75671221306947e-22,NA
"1549","GO:0072655","protein transport","Down","establishment of protein localization to mitochondrion",NA,4.10253801383309e-06,NA
"1550","GO:0072657","protein import into nucleus","Down, Up","protein localization to membrane",8.7573120902168e-31,1.32405045465991e-37,NA
"1551","GO:0072659","protein import into nucleus","Down, Up","protein localization to plasma membrane",8.85735486056057e-13,2.3883433913398e-06,NA
"1552","GO:0072665","protein transport","Up","protein localization to vacuole",2.5288080874692e-06,NA,NA
"1553","GO:0080090","regulation of DNA-templated transcription","Down, Up, Biomin","regulation of primary metabolic process",1.11315262710004e-316,9.99954078667157e-268,1.27766965936174e-09
"1554","GO:0080134","regulation of chemotaxis","Down, Up","regulation of response to stress",7.21020970894646e-84,6.82747327652821e-67,NA
"1555","GO:0080135","regulation of chemotaxis","Down, Up","regulation of cellular response to stress",1.06141837728757e-52,2.78262860575206e-43,NA
"1556","GO:0080171","mitochondrion organization","Up","lytic vacuole organization",5.4127159527415e-09,NA,NA
"1557","GO:0090066","regulation of membrane potential","Down, Up, Biomin","regulation of anatomical structure size",4.74192052211298e-51,2.12496942916163e-39,8.85166782172125e-10
"1558","GO:0090068","cell cycle","Down, Up","positive regulation of cell cycle process",6.31062618872451e-24,4.64076258422505e-16,NA
"1559","GO:0090087","mRNA transport","Down, Up","regulation of peptide transport",4.94102210509055e-44,3.95385888972828e-41,NA
"1560","GO:0090090","chemical synaptic transmission","Down, Up","negative regulation of canonical Wnt signaling pathway",5.24352046140081e-13,3.26662755074264e-08,NA
"1561","GO:0090092","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",8.92981164243511e-16,3.47418309734825e-11,NA
"1562","GO:0090100","transmembrane receptor protein tyrosine kinase signaling pathway","Down, Up","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",6.97534332306095e-07,2.9749209163285e-06,NA
"1563","GO:0090101","transmembrane receptor protein tyrosine kinase signaling pathway","Up","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",1.17929039113055e-07,NA,NA
"1564","GO:0090130","epithelial cell migration","Down, Up","tissue migration",1.63160769771762e-23,2.45178330478494e-15,NA
"1565","GO:0090132","epithelial cell migration","Down, Up","epithelium migration",1.54308987841591e-20,7.92637614381782e-15,NA
"1566","GO:0090150","protein import into nucleus","Down, Up","establishment of protein localization to membrane",1.30984461910949e-12,8.17536785513419e-29,NA
"1567","GO:0090174","Golgi organization","Down, Up","organelle membrane fusion",3.05200751023641e-08,6.46539716018619e-10,NA
"1568","GO:0090175","anatomical structure morphogenesis","Down, Up","regulation of establishment of planar polarity",4.35836127408062e-08,2.13582318210168e-06,NA
"1569","GO:0090224","microtubule cytoskeleton organization","Up","regulation of spindle organization",2.85185329651631e-06,NA,NA
"1570","GO:0090257","sensory perception of chemical stimulus","Down, Up","regulation of muscle system process",2.8354625523798e-14,1.27352253537264e-09,NA
"1571","GO:0090263","chemical synaptic transmission","Down, Up","positive regulation of canonical Wnt signaling pathway",3.21660649133137e-09,1.35135392168776e-07,NA
"1572","GO:0090276","regulation of membrane potential","Down, Up","regulation of peptide hormone secretion",3.24110813947537e-08,8.87660789435036e-15,NA
"1573","GO:0090277","mRNA transport","Down","positive regulation of peptide hormone secretion",NA,7.31041125809592e-09,NA
"1574","GO:0090287","fibroblast growth factor receptor signaling pathway","Down, Up","regulation of cellular response to growth factor stimulus",2.05199295704791e-21,1.63337417593736e-16,NA
"1575","GO:0090288","fibroblast growth factor receptor signaling pathway","Down, Up","negative regulation of cellular response to growth factor stimulus",2.97265091820064e-09,6.0939215324797e-08,NA
"1576","GO:0090303","defense response","Up","positive regulation of wound healing",3.89860701097857e-06,NA,NA
"1577","GO:0090304","metabolic process","Down, Up","nucleic acid metabolic process",2.38203163597923e-170,4.69352198096548e-196,NA
"1578","GO:0090305","mRNA processing","Down, Up","nucleic acid phosphodiester bond hydrolysis",1.64598840842967e-16,2.20023614759275e-23,NA
"1579","GO:0090316","regulation of protein localization","Down, Up","positive regulation of intracellular protein transport",1.04745845162729e-13,6.60686815846254e-08,NA
"1580","GO:0090329","DNA replication","Up","regulation of DNA-templated DNA replication",1.4773043844873e-07,NA,NA
"1581","GO:0090407","protein dephosphorylation","Down, Up","organophosphate biosynthetic process",2.26091365113352e-34,8.07293361566004e-36,NA
"1582","GO:0090501","mRNA processing","Down, Up","RNA phosphodiester bond hydrolysis",1.09067699279141e-07,6.39828462985372e-13,NA
"1583","GO:0090502","mRNA processing","Down","RNA phosphodiester bond hydrolysis, endonucleolytic",NA,2.94671030988636e-07,NA
"1584","GO:0090596","vulval development","Down, Up, Biomin","sensory organ morphogenesis",5.75157771829896e-37,3.6008878711612e-36,1.44433162527052e-07
"1585","GO:0090598","reproduction","Down, Up","male anatomical structure morphogenesis",2.91895447015264e-07,1.02877644432151e-06,NA
"1586","GO:0090630","regulation of catalytic activity","Down, Up","activation of GTPase activity",7.64019734379201e-08,9.59386528109609e-06,NA
"1587","GO:0097006","regulation of plasma lipoprotein particle levels","Down","regulation of plasma lipoprotein particle levels",NA,4.76878531658452e-06,NA
"1588","GO:0097164","ammonium ion metabolic process","Down, Up","ammonium ion metabolic process",1.83081496947614e-10,3.59500627988792e-08,NA
"1589","GO:0097190","apoptotic process","Down, Up","apoptotic signaling pathway",1.58507043291422e-20,2.25485897791029e-16,NA
"1590","GO:0097193","apoptotic process","Down, Up","intrinsic apoptotic signaling pathway",2.87833955163386e-12,2.07814645449087e-13,NA
"1591","GO:0097237","cellular oxidant detoxification","Down, Up","cellular response to toxic substance",6.67892359391189e-14,1.91473382615013e-16,NA
"1592","GO:0097305","IRE1-mediated unfolded protein response","Down, Up","response to alcohol",8.9753232623856e-25,1.59209804309993e-20,NA
"1593","GO:0097306","IRE1-mediated unfolded protein response","Down, Up","cellular response to alcohol",1.53297046627516e-07,1.11354892522929e-08,NA
"1594","GO:0097435","actin filament organization","Down, Up","supramolecular fiber organization",7.21666782318852e-29,3.93958558056753e-29,NA
"1595","GO:0097479","nuclear migration","Down, Up","synaptic vesicle localization",8.98875093058036e-14,2.40190745581603e-12,NA
"1596","GO:0097485","locomotion","Down, Up","neuron projection guidance",5.12522921767054e-30,3.49189281696751e-27,NA
"1597","GO:0097659","regulation of transcription by RNA polymerase II","Down, Up","nucleic acid-templated transcription",1.47644486799349e-41,5.99570304762346e-58,NA
"1598","GO:0098542","defense response","Down, Up","defense response to other organism",2.5754204181911e-24,5.53218783571402e-24,NA
"1599","GO:0098609","cell adhesion","Down, Up","cell-cell adhesion",1.88032630688625e-12,1.1793954018077e-08,NA
"1600","GO:0098655","transmembrane transport","Down, Up, Biomin","monoatomic cation transmembrane transport",7.38424647256192e-26,9.53299414393461e-24,8.85166782172125e-10
"1601","GO:0098656","monoatomic ion transport","Down, Up, Biomin","monoatomic anion transmembrane transport",4.18488966379531e-13,1.75521331296133e-12,4.70878990546098e-06
"1602","GO:0098657","import into cell","Down, Up","import into cell",6.78015939183725e-45,1.5114127643944e-34,NA
"1603","GO:0098660","transmembrane transport","Down, Up, Biomin","inorganic ion transmembrane transport",3.53633748266898e-25,1.06798694705172e-25,8.85166782172125e-10
"1604","GO:0098661","transmembrane transport","Biomin","inorganic anion transmembrane transport",NA,NA,4.70878990546098e-06
"1605","GO:0098662","transmembrane transport","Down, Up, Biomin","inorganic cation transmembrane transport",1.52707855944069e-22,9.31058912967521e-22,8.85166782172125e-10
"1606","GO:0098722","cell division","Up","asymmetric stem cell division",2.87337274281193e-07,NA,NA
"1607","GO:0098727","germ-line stem cell population maintenance","Down, Up","maintenance of cell number",9.0430175859177e-22,6.74200617823808e-16,NA
"1608","GO:0098732","protein ubiquitination","Down","macromolecule deacylation",NA,2.27041693694009e-06,NA
"1609","GO:0098754","cellular oxidant detoxification","Down, Up","detoxification",5.26721053504374e-08,1.268336985089e-06,NA
"1610","GO:0098771","intracellular calcium ion homeostasis","Down, Up, Biomin","inorganic ion homeostasis",2.02394390595012e-38,7.49083782926353e-29,0
"1611","GO:0098773","vulval development","Up","skin epidermis development",2.75893936789988e-06,NA,NA
"1612","GO:0098781","regulation of transcription by RNA polymerase II","Down, Up","ncRNA transcription",1.34878554745437e-06,3.63927158252308e-09,NA
"1613","GO:0098813","cell cycle","Down, Up","nuclear chromosome segregation",6.54205686013021e-23,4.19117052228105e-15,NA
"1614","GO:0098869","cellular oxidant detoxification","Up","cellular oxidant detoxification",2.15310907814837e-06,NA,NA
"1615","GO:0098916","chemical synaptic transmission","Down, Up","anterograde trans-synaptic signaling",5.40051391126154e-24,1.03162770754531e-29,NA
"1616","GO:0098930","microtubule cytoskeleton organization","Up","axonal transport",2.71426184953919e-06,NA,NA
"1617","GO:0099003","vesicle-mediated transport","Down, Up","vesicle-mediated transport in synapse",2.27595305845147e-17,2.27475691830913e-16,NA
"1618","GO:0099024","Golgi organization","Up","plasma membrane invagination",2.37334501174419e-08,NA,NA
"1619","GO:0099111","organelle transport along microtubule","Down, Up","microtubule-based transport",5.14120209363454e-15,3.50242332315233e-11,NA
"1620","GO:0099177","intracellular receptor signaling pathway","Down, Up","regulation of trans-synaptic signaling",5.25348434185604e-23,2.30492328694513e-23,NA
"1621","GO:0099504","vesicle-mediated transport","Down, Up","synaptic vesicle cycle",1.80166748278778e-12,3.65316970082705e-14,NA
"1622","GO:0099518","protein import into nucleus","Up","vesicle cytoskeletal trafficking",2.74124427430217e-06,NA,NA
"1623","GO:0099536","chemical synaptic transmission","Down, Up","synaptic signaling",1.19644369698108e-24,1.03162770754531e-29,NA
"1624","GO:0099537","chemical synaptic transmission","Down, Up","trans-synaptic signaling",2.54613206854035e-24,1.03162770754531e-29,NA
"1625","GO:0099643","exocytosis","Down, Up","signal release from synapse",1.60737514578839e-11,2.62577935368036e-11,NA
"1626","GO:0104004","cellular response to light stimulus","Down, Up","cellular response to environmental stimulus",1.20035356056838e-24,3.89489425489592e-18,NA
"1627","GO:0106027","cilium assembly","Up","neuron projection organization",5.61868467263537e-06,NA,NA
"1628","GO:0110020","actin cytoskeleton organization","Up","regulation of actomyosin structure organization",3.262148764261e-10,NA,NA
"1629","GO:0110053","actin filament organization","Down, Up","regulation of actin filament organization",3.99980835407957e-19,1.0894941530221e-13,NA
"1630","GO:0120031","cilium assembly","Down, Up","plasma membrane bounded cell projection assembly",7.60034839935404e-40,7.14242025442083e-31,NA
"1631","GO:0120032","positive regulation of axon extension","Down, Up","regulation of plasma membrane bounded cell projection assembly",3.59373101648802e-16,1.2135037507715e-09,NA
"1632","GO:0120034","positive regulation of axon extension","Down, Up","positive regulation of plasma membrane bounded cell projection assembly",7.66139734244045e-10,4.20355673870041e-06,NA
"1633","GO:0120035","positive regulation of axon extension","Down, Up","regulation of plasma membrane bounded cell projection organization",6.13884909857582e-63,4.12750585837035e-41,NA
"1634","GO:0120036","cilium assembly","Down, Up, Biomin","plasma membrane bounded cell projection organization",7.21842286152607e-106,3.8386745399217e-85,1.12228027176763e-09
"1635","GO:0120039","anatomical structure morphogenesis","Down, Up","plasma membrane bounded cell projection morphogenesis",2.78203563217683e-56,1.12588688340391e-44,NA
"1636","GO:0140013","cell cycle","Down, Up","meiotic nuclear division",1.29532879670212e-18,1.26544556652778e-12,NA
"1637","GO:0140014","mitochondrion organization","Down, Up","mitotic nuclear division",1.05795175864425e-18,8.62074692382369e-14,NA
"1638","GO:0140029","exocytosis","Up","exocytic process",1.53483031568099e-08,NA,NA
"1639","GO:0140053","mitochondrial translation","Down, Up","mitochondrial gene expression",3.21660649133137e-09,1.46608149382727e-10,NA
"1640","GO:0140056","organelle localization by membrane tethering","Down, Up","organelle localization by membrane tethering",7.96093146924437e-12,2.45777895664238e-08,NA
"1641","GO:0198738","chemical synaptic transmission","Down, Up","cell-cell signaling by wnt",5.55170577305267e-16,2.60939956969292e-13,NA
